wid,model,nll,β_depthlim,β_satisfice,θ_prune,β_best_next,β_prune,θ_depthlim,ε,θ_prob_better,β_depth,β_prob_best,β_prob_better,β_expand,β_best,θ_term
79,Depth,78.19165660095734,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.12936668012162458,0.0,2.478651015984,0.0,0.0,0.0,0.0,0.053018780102137106
81,Depth,456.31412883372997,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.38085689801073347,0.0,0.7411936786071823,0.0,0.0,0.0,0.0,-75.41353023263605
810,Depth,305.7734074410528,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.6509461400689599,0.0,4.836578495796957e-16,0.0,0.0,0.0,0.0,-9.812959928708718
811,Depth,348.2186510742625,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.5681818181512188,0.0,6.854913892974342e-14,0.0,0.0,0.0,0.0,-24.33670670328299
812,Depth,474.74495183067916,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.3315977748253635,0.0,0.9752390470643922,0.0,0.0,0.0,0.0,-39.79201619478789
813,Depth,474.26576014495464,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.34419084671277417,0.0,0.8141196694553131,0.0,0.0,0.0,0.0,-41.401190408951784
82,Depth,541.408299609825,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.2263947697277057,0.0,1.762295885950139,0.0,0.0,0.0,0.0,-44.31455714681793
83,Depth,469.8204964554338,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.21546821543211225,0.0,2.615937868847749,0.0,0.0,0.0,0.0,-34.04222331432823
84,Depth,417.97969833589195,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.46033290717340064,0.0,3.1742981604696767e-75,0.0,0.0,0.0,0.0,-36.26668533264786
85,Depth,352.03801940102494,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.5551579236276115,0.0,2.52314034809339e-81,0.0,0.0,0.0,0.0,-77.14454266009025
86,Depth,477.2778252222955,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.32635126794451336,0.0,1.5512368579949234,0.0,0.0,0.0,0.0,-42.30834878009828
87,Depth,555.4907053397818,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.27621688699023444,0.0,1.2675489426540438,0.0,0.0,0.0,0.0,-40.840260030425945
88,Depth,363.25964373683246,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.5434782608050626,0.0,4.608577220622514e-16,0.0,0.0,0.0,0.0,-24.285657405133115
89,Depth,287.40507038963256,100000.0,0.0,-1.0e10,0.0,100000.0,1.0e10,0.6944444321370945,0.0,7.738245253075342e-17,0.0,0.0,0.0,0.0,-18.630992495547666
